,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades
68,3,0.0,10.544117647058824,1,2,0,0.8168177241929693,1.0294772765547209,0.0,0.0,0.0,0.0,8.514705882352942,10.375,10.022058823529411
69,3,0.0,10.391304347826088,1,2,0,0.7168177241929693,0.8294772765547208,0.0,0.0,0.0,0.0,8.391304347826088,10.22463768115942,9.876811594202898
70,3,0.0,10.242857142857142,1,2,0,0.6168177241929693,0.6294772765547209,0.0,0.0,0.0,0.0,8.271428571428572,10.07857142857143,9.735714285714286
71,3,0.0,10.098591549295774,1,2,0,0.5168177241929693,0.42947727655472084,0.0,0.0,0.0,0.0,8.154929577464788,9.93661971830986,9.598591549295774
72,3,0.0,9.958333333333334,1,2,0,0.41681772419296936,0.22947727655472083,0.0,0.0,0.0,0.0,8.041666666666666,9.79861111111111,9.465277777777779
73,2,0.0,9.821917808219178,1,1,0,0.3168177241929694,0.08009390664353216,0.0,0.0,0.0,0.0,7.931506849315069,9.664383561643836,9.335616438356164
74,1,0.0,9.68918918918919,1,0,0,0.21681772419296938,0.0,0.0,0.0,0.0,0.0,7.824324324324325,9.533783783783784,9.20945945945946
75,1,0.0,9.56,1,0,0,0.11681772419296937,0.0,0.0,0.0,0.0,0.0,7.72,9.406666666666666,9.086666666666666
76,1,0.0,9.43421052631579,1,0,0,0.01681772419296937,0.0,0.0,0.0,0.0,0.0,7.618421052631579,9.282894736842104,8.967105263157896
77,0,0.0,9.311688311688311,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.51948051948052,9.162337662337663,8.85064935064935
78,0,0.0,9.192307692307692,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.423076923076923,9.044871794871796,8.737179487179487
79,0,0.0,9.075949367088608,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.329113924050633,8.930379746835444,8.626582278481013
80,0,0.0,8.9625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.2375,8.81875,8.51875
