,Nomads,total_Clustering,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_2_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_2_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_2_Clustering,Tribe_0_Trades,Tribe_1_Trades,Tribe_2_Trades,experiment_name,width,height,n_tribes,n_agents,n_heaps,vision_radius,step_count,alpha,trade_percentage,spice_movement_bias,tribe_movement_bias,spice_threshold,spice_kwargs,river_kwargs,location_kwargs,spice_generator,river_generator,location_generator
1,445,22.135205992509363,418.5,372.0,164,138,143,1226.4981207320966,742.5302165587099,1345.0912065075993,10.25,34.5,23.833333333333332,38.45,36.85,26.45,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
2,313,10.162592483605179,664.0,695.5,121,81,111,1298.1489981874977,988.5447171409847,2057.4047910127106,6.368421052631579,20.25,6.9375,38.95,30.6,26.1,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
3,295,13.18407671721677,848.0,920.0,96,83,116,1319.8570019551103,1409.472277309188,2576.55970895119,5.052631578947368,20.75,14.5,37.81666666666667,26.116666666666667,32.7,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
4,280,22.20478896103896,980.5,1152.0,65,97,118,1014.6447723403644,2021.298280325041,3156.9326186348517,5.909090909090909,24.25,29.5,35.1125,28.7125,34.5375,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
5,290,27.30213464696223,1054.0,1276.5,39,114,137,681.9166035521597,2419.849313298452,3799.161698356998,5.571428571428571,12.666666666666666,45.666666666666664,29.92,37.78,38.09,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
6,310,30.5653801843318,1099.0,1304.0,43,117,150,1111.7191684838801,2418.3578104926287,4124.066496929743,6.142857142857143,14.625,50.0,26.358333333333334,47.675,42.35,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
7,357,34.18194550547492,1177.0,1399.0,84,101,172,2207.1208610346453,1707.4724019422758,4425.149393133425,7.636363636363637,16.833333333333332,57.333333333333336,28.564285714285713,55.72142857142857,47.878571428571426,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
8,389,48.584343248867675,1366.5,1621.0,125,90,174,2586.5765814440983,1959.1866849907801,4481.376820386152,20.833333333333332,12.857142857142858,87.0,37.59375,57.4625,53.7,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
9,397,61.28664987405541,1468.0,1751.0,94,103,200,2387.7816624388183,2199.714238021173,5161.649562649493,23.5,20.6,100.0,39.477777777777774,61.016666666666666,60.77777777777778,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
10,443,71.32505643340858,1556.5,1850.5,113,104,226,2680.5847584676635,2184.128560384566,5615.6704265932085,37.666666666666664,17.333333333333332,113.0,42.15,65.295,70.3,ofat_new_nominal_values,100,100,3,740,4,10,100,0.5,0.8,0.07,0.15,9150,,,,<function gen_spice_map at 0x79813e9df1a0>,<function no_river at 0x7980dfe9d300>,<function random_locations at 0x7980dfe9d440>
