,Nomads,Fights_per_step,Cooperation_per_step,Tribe_0_Nomads,Tribe_1_Nomads,Tribe_0_Spice,Tribe_1_Spice,Tribe_0_Clustering,Tribe_1_Clustering,Tribe_0_Trades,Tribe_1_Trades
76,1,0.0,49.23684210526316,0,1,0.0,0.2298597778417175,0.0,0.0,109.04605263157895,126.23026315789474
77,1,0.0,48.5974025974026,0,1,0.0,0.12985977784171748,0.0,0.0,107.62987012987013,124.5909090909091
78,1,0.0,47.97435897435897,0,1,0.0,0.029859777841717478,0.0,0.0,106.25,122.99358974358974
79,0,0.0,47.36708860759494,0,0,0.0,0.0,0.0,0.0,104.90506329113924,121.4367088607595
80,0,0.0,46.775,0,0,0.0,0.0,0.0,0.0,103.59375,119.91875
81,0,0.0,46.19753086419753,0,0,0.0,0.0,0.0,0.0,102.31481481481481,118.43827160493827
82,0,0.0,45.63414634146341,0,0,0.0,0.0,0.0,0.0,101.0670731707317,116.9939024390244
83,0,0.0,45.08433734939759,0,0,0.0,0.0,0.0,0.0,99.84939759036145,115.58433734939759
84,0,0.0,44.54761904761905,0,0,0.0,0.0,0.0,0.0,98.66071428571429,114.20833333333333
85,0,0.0,44.023529411764706,0,0,0.0,0.0,0.0,0.0,97.5,112.86470588235294
86,0,0.0,43.51162790697674,0,0,0.0,0.0,0.0,0.0,96.36627906976744,111.55232558139535
87,0,0.0,43.01149425287356,0,0,0.0,0.0,0.0,0.0,95.25862068965517,110.27011494252874
88,0,0.0,42.52272727272727,0,0,0.0,0.0,0.0,0.0,94.17613636363636,109.01704545454545
89,0,0.0,42.04494382022472,0,0,0.0,0.0,0.0,0.0,93.11797752808988,107.79213483146067
90,0,0.0,41.577777777777776,0,0,0.0,0.0,0.0,0.0,92.08333333333333,106.59444444444445
91,0,0.0,41.120879120879124,0,0,0.0,0.0,0.0,0.0,91.07142857142857,105.42307692307692
92,0,0.0,40.67391304347826,0,0,0.0,0.0,0.0,0.0,90.08152173913044,104.27717391304348
93,0,0.0,40.236559139784944,0,0,0.0,0.0,0.0,0.0,89.11290322580645,103.15591397849462
94,0,0.0,39.808510638297875,0,0,0.0,0.0,0.0,0.0,88.16489361702128,102.05851063829788
95,0,0.0,39.38947368421053,0,0,0.0,0.0,0.0,0.0,87.23684210526316,100.98421052631579
96,0,0.0,38.979166666666664,0,0,0.0,0.0,0.0,0.0,86.328125,99.93229166666667
97,0,0.0,38.577319587628864,0,0,0.0,0.0,0.0,0.0,85.4381443298969,98.9020618556701
98,0,0.0,38.183673469387756,0,0,0.0,0.0,0.0,0.0,84.56632653061224,97.89285714285714
99,0,0.0,37.7979797979798,0,0,0.0,0.0,0.0,0.0,83.71212121212122,96.9040404040404
100,0,0.0,37.42,0,0,0.0,0.0,0.0,0.0,82.875,95.935
